group_id,title,url,visibility,members_k,members,desc,post,city,state_code,state_name,latitude,longitude
"metrowestmomfriends",MetroWest Mom Friends | Boston,https://www.facebook.com/groups/metrowestmomfriends/,Private,1.3K,1300.0,"Find your people. find yourself. MetroWest Mom Friends of MetroWest was founded by MetroWest Mama. www.metrowestmama.com Welcome to MetroWest Mom Friends. a mom group created for moms seeking connections. socialization. and the joy of rediscovering themselves amidst the chaos of motherhood. We shift the spotlight from our kids to focus on the incredible women behind the title of ‘mom.’ We organize local meetups. encouraging members to arrange gatherings too. ………. Are you a local business? Advertise. sponsor an event. or collaborate with us to get in front of your target audience — local moms. Need more support? MetroWest Mama offers freelance services. specializing in social media strategy. management. email marketing. design. and web services. Please send a message or email hellometrowestmama@gmail.com Follow us on Instagram: www.instagram.com/metrowestmama Ashland. Framingham. Holliston. Hopkinton. Natick. Sherborn. Southborough. Sudbury. Wayland and Westborough… we also venture to Concord. Acton. Maynard. Watertown. Burlington . and more! Greater Boston MetroWest. Massachusetts",NA,Acton,MA,Massachusetts,42.475076,-71.448255
"actonma",Acton$ MA Yard Sale,https://www.facebook.com/groups/actonma/,Private,1K,1000.0,"Join the Yard Sale for Online Shopping and Selling with your Neighbors in Acton. Massachusetts!",5 posts a day,Acton,MA,Massachusetts,42.475076,-71.448255
"902711179744391",Acton Kids Exchange (Acton$ Ma),https://www.facebook.com/groups/902711179744391/,Private,2.3K,2300.0,"Welcome! This is a Buy/Sell/Trade group for Kids' Stuff for Acton. MA and its immediately bordering towns (Concord. Carlisle. Westford. Littleton. Boxborough. Stow. Maynard). Folks from other towns are welcome to join. but MUST be willing to meet in one of the above listed towns in order to sell here. Kid's Stuff only. please Please note. we do screen profiles before approving membership. If a profile is too locked down (does not allow messages. no profile pic. etc) so that the admin cannot verify - or appears to be fake or from a spammer. they will not be allowed to join. This is for the protection of the parents currently in the group. Thanks!",4 posts a day,Acton,MA,Massachusetts,42.475076,-71.448255
"808558365851003",Harvard$ Boxborough and surrounding areas yard sale,https://www.facebook.com/groups/808558365851003/,Private,1.9K,1900.0,"This is a place where you can buy and sell items from people who live in the Harvard. Ayer. Boxborough. Acton. Maynard. etc. areas. To sell items. just post a photo. short description. price you are asking for and where you are located. To try to find a specific item to buy. post 'ISO'(In Search Of) then what it is you are looking for. This is a great way to pass on things that you no longer need without adding to our landfills. make a few bucks for your unwanted items and help each other save money by passing items in good condition down for a reasonable price or for free. Please. please. please DO NOT advertise or post anything to promote a business or program or you will be removed from the group. This group is for finding. selling and buying items you would find at an average yard sale only. Thank you",NA,Acton,MA,Massachusetts,42.475076,-71.448255
"978919332191432",Acton Online Reunion,https://www.facebook.com/groups/978919332191432/,Private,1.3K,1300.0,"This is a group for adults that grew up in Acton or Boxborough that want to reminisce or reconnect with old friends. The only rule here is to be respectful to others.",NA,Acton,MA,Massachusetts,42.475076,-71.448255
"kidsofActonMass",Kids of ACTON$ Mass....,https://www.facebook.com/groups/kidsofActonMass/,Private,1K,1000.0,"A group for former Acton & Boxborough kids. as well as kids from the surrounding areas. (Middlesex County). Purpose: A venue for remembering and sharing the wild and crazy events. shared by close knit groups of teenagers. in a small New England towns.",NA,Acton,MA,Massachusetts,42.475076,-71.448255
"acushnetma",All Things Acushnet,https://www.facebook.com/groups/acushnetma/,Private,8.4K,8400.0,"A group for Acushnet residents (and residents of neighboring towns) to have discussions surrounding their community. businesses. events. questions. and anything else relating to Acushnet. POLITICAL POSTS/COMMENTS UNRELATED TO ACUSHNET TOWN POLITICS ARE FORBIDDEN.",8 recent anonymous posts,Acushnet,MA,Massachusetts,41.6997,-70.908652
"ContractorsofMass",Contractors of Mass,https://www.facebook.com/groups/ContractorsofMass/,Private,9.4K,9400.0,"Contractors of Mass is THE Local Home Improvement Group. It is also a place to network. and get creative. Interior designers are also welcome and invited to share with us. Post DIY Questions. Network with Contractors. Share and Develop Your Ideas. Get Bids. Share Business Photos. Links and Videos to promote. Share Your Content Related Humor. Network as a commercial contractor or home builder and more. Please take the time to read the rules of the group. Contractors and Homeowners alike will find resources for an array of services provided by our Admins that are very useful and we encourage the interaction. For a current list check the resources announcement post at any time.",10 posts a day,Acushnet,MA,Massachusetts,41.6997,-70.908652
"162823063447010",Roots of Love - Acushnet$ Ma,https://www.facebook.com/groups/162823063447010/,Private,1.5K,1500.0,"Roots of Love is a Community Exchange Stand based out of Yanina's driveway! It started with exchange of plants but it has grown into so much more! This endeavor is voluntary. on-your-honor. share-it-forward where community members can offer and take plants. seeds. pots. etc at the stand. There is a up for grabs and a holds side. As a community I know that we have many who create. do. and sell items rooted out of love! Think baked goods. farm products. art. and those instances I will allow as well. Anything rooted out of love 💕 Give what you can. Take what you need. Post what you have created. Donations welcome for upkeep and giveaways. Want to collaborate with Roots of Love? Send Yanina a message! Happy exchanging!",5 posts a day,Acushnet,MA,Massachusetts,41.6997,-70.908652
"2060558674280229",ADAMS$MASS. OUR HOMETOWN,https://www.facebook.com/groups/2060558674280229/,Private,1.6K,1600.0,"Where we as a whole can speak our minds in a professional adult manner without being overpowered by and manipulated by some power hungry social media Karens",4 posts a day,Adams,MA,Massachusetts,42.622319,-73.117225
"424932271712759",Adams Massachusetts Community Group,https://www.facebook.com/groups/424932271712759/,Private,1.5K,1500.0,"A group for residents of Adams. MA and surrounding towns. Feel free to be an active member. Topics can be diverse but please keep business advertising to a reasonable level. and no go fund me campaigns without Admin approval. Let's have fun and treat each other like neighbors.",NA,Adams,MA,Massachusetts,42.622319,-73.117225
"596476660436457",BERKSHIRE TAG SALE 4,https://www.facebook.com/groups/596476660436457/,Private,28K,28000.0,"BUY - SELL - TRADE OWNER: TIMOTHY SAMSON",1 recent anonymous post,Adams,MA,Massachusetts,42.622319,-73.117225
"1509681602637578",berkshire tag sales adams && north adams area ONLY!,https://www.facebook.com/groups/1509681602637578/,Private,8.6K,8600.0,"This Group is for people who have items they wants to sell and get rid of there is to be no harassing or bashing in this group please... :) if u have any questions or problems please inform any of the Admins Thank you && I hope you enjoy they group",10+ posts a day,Adams,MA,Massachusetts,42.622319,-73.117225
"536581786897535",Lee and Lenox$ Ma. : A blast to the past,https://www.facebook.com/groups/536581786897535/,Private,2K,2000.0,"A group for old farts to reminisce and feel old. Will be posting pics of Lee Lenox 'The Dale' West Stockbridge Stockbridge etc.This is a blast group only not a chat room or a community forum ty admin ENJOY",NA,Adams,MA,Massachusetts,42.622319,-73.117225
"241496352551682",You know you're from Adams/Cheshire MA if you remember....,https://www.facebook.com/groups/241496352551682/,Private,2.9K,2900.0,"A page for folks who remember growing up in the Adams and Cheshire areas. A great place to meet back up with old friends and neighbors.make new friends.reminisce about the old days.chat it up about current stuff. or just browse the comments and experience the nostalgia....Feel free to click on 'photos' at the top of the page to check out the great pictures submitted by members....enjoy!...Paul",NA,Adams,MA,Massachusetts,42.622319,-73.117225
"1286582091535372",Berkshire Freebies ( friendly ),https://www.facebook.com/groups/1286582091535372/,Private,3.8K,3800.0,"Welcome to The Northern Berkshire Freebies (friendly group! ) and invite your friends as well. Please read rules before joining. We are not an ISO group. If you post an ISO you will be removed. You must answer the questions or you will not be accepted. You also need to be from the Berkshires. North Adams. clarksburg. Adams Cheshire. Pittsfield. and surrounding towns around the Berkshires. ## WE ARE NOT AN ISO ROOM# Berkshire Freebies (Friendly) is a site where you can post items that you just don't want anymore that are still in usable and in decent condition for free. Please read our rules the you come in. And make sure to answer the questions as well. so we know that you understand the rules. ## You have to live in Berkshire County## ##No Ad's or self marketing## ##There is no delivery. unless otherwise decided between the both parties## ##Please remove your post after the item/items you have posted have been claimed##",1 recent anonymous post,Adams,MA,Massachusetts,42.622319,-73.117225
"TagSalesOfTheBerkshires",Tag sales of the Berkshires,https://www.facebook.com/groups/TagSalesOfTheBerkshires/,Private,7.8K,7800.0,"This is for people in the Berkshires who want to buy. sell or trade. PLAY NICE!!! If you act like a child out here you will be removed..ITS NOT FOR JOBS OR TUPPERWARE PARTIES OR ANY ADVERTISING OF ANY KIND. THIS also includes links of any kind added to a photo to direct the buyer to another site group ect.",10 posts a day,Adams,MA,Massachusetts,42.622319,-73.117225
"1965933723652300",ADAMS INFORMED UNCENSORED,https://www.facebook.com/groups/1965933723652300/,Private,2.7K,2700.0,"ANY AND ALL NEWS IN AND AROUND ADAMS. MA.",10 posts a day,Adams,MA,Massachusetts,42.622319,-73.117225
"1447566272229750",Agawam$ MA Forum,https://www.facebook.com/groups/1447566272229750/,Private,18K,18000.0,"Welcome to the Agawam. MA Open Forum This group is meant for people in the Agawam area who would like to connect with other members of the community. This group offers the opportunity to discuss local and town events. share job openings. look for caretakers. share weather updates. sell items. etc. This forum provides its members with the ability to communicate with locals and adjacent members of the community. Agawam and the surrounding areas have many things to offer and this forum is one of many dedicated to providing a digital space for all your needs. Much like any forum. anything goes but there are rules all members must adhere to if they want to join or remain in the group. Please thoroughly read all the group rules and community guidelines. Joining this group means that you agree to those rules and violating the rules put in place will result in disciplinary action. Please note that failure to answer the membership entry questions will result in a declined request to join. Please tell anyone you recommend to this group to fill out the membership questions. Code of Conduct The following is NOT permitted: threats. name calling. harassment. hate speech. bullying. discrimination. ableism. sexism. homophobia. transphobia. xenophobia. or racism. Our community encompasses people from all of these communities. Everyone is welcome so long as they adhere to the rules. It is possible to disagree with someone without harassing people or making derogatory remarks. Lewd remarks will not be tolerated. Attacks on someone’s culture or religion will also not be tolerated. Violations will have consequences (explained in ANNOUNCEMENTS). If admitted. please check out the rest of the rules for the forum located in the ANNOUNCEMENTS. If you need any clarification or have questions reach out to an admin or moderator.",8 recent anonymous posts,Agawam,MA,Massachusetts,42.070206,-72.622739
"AgawamForum",Agawam/Feeding Hills Open Forum,https://www.facebook.com/groups/AgawamForum/,Private,12K,12000.0,"This group was created as an alternative to the current Agawam MA Open Forum AND the Feeding Hills Open Forum. We would like there to be an option in the online community that serves as a place for meaningful discussion. knowledge & information sharing and positive interactions among those in our community. Please answer all Pending Member Questions after you request to join. If the request comes through without answers. membership will be denied. Feel free to request again when you’re able to answer all the questions.",10+ posts a day,Agawam,MA,Massachusetts,42.070206,-72.622739
"650692761676743",Agawam Tag Sale,https://www.facebook.com/groups/650692761676743/,Private,19K,19000.0,"Let Facebook help sell your gentle used items in your community and surrounding towns.",10+ posts a day,Agawam,MA,Massachusetts,42.070206,-72.622739
"1522353318016630",Buy Nothing West Springfield/Agawam$ MA,https://www.facebook.com/groups/1522353318016630/,Private,2K,2000.0,"To join us. click “Join Group” and answer the three membership questions. Contact local volunteer admin KJ LaDunphy. Mary Ellen Armold. or Julie LaBarre with any questions about membership in this Buy Nothing community group. New members are added on Sunday except the month of December. where new members will probably not be added without group member recommendation. If you’ve requested more than one week ago. please check your answers to be sure you have answered all questions completely. If you have. there may be an issue with membership. Brand new and limited profiles are not accepted. for obvious reasons. this is to protect the community. This group requires people to wait 24 hours after posting an item. before choosing whom to gift to. Please follow this rule right away. Buy Nothing. Give Freely. Share creatively. Follow us at https://www.facebook.com/BuyNothingProject/ We offer members a way to give and receive. share. lend. and express gratitude through a worldwide network of micro-local gift economies in which the true wealth is the web of connections formed between people who are real-life neighbors. Post anything you'd like to give away. lend. or share in this Buy Nothing community group. Ask for anything you'd like to receive for free or borrow. Keep it legal. Keep it civil. This group works differently than other free groups. we require waiting 24 hours before gifting (unless perishable goods or for special reason) in order to give all members of the community an opportunity to show interest. Buy Nothing West Springfield/Agawam is for neighbors in West Springfield and Agawam. MA. If you live here. we’d love to have you join us! You can join one group only. the group where you live. so you can literally 'give where you live.' This is what builds community. In this group there is no buying or selling. no trades or bartering. no soliciting for cash. We're an adult-only. hyper-local gift economy. We are not a charity or community bulletin board. Please check for a message from an admin via Facebook messenger to clarify and confirm that you meet our membership criteria and to welcome you to the group. By joining this group. you agree to abide by our Mission and Rules. Looking for an official group near you? Visit our Find A Group page for a list of all our hyper-local gift economies: http://buynothingproject.org/find-a-group/ Learn more about the Buy Nothing Project at http://buynothingproject.org/ Have a concern about this group? Are you having trouble finding or being added to your local Buy Nothing group? We want to hear from you! Contact us here: https://tinyurl.com/member-relations This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License. https://creativecommons.org/licenses/by-nc/4.0/ Non-derivative (standard BNProject rule set. no rules have been changed)",10+ posts a day,Agawam,MA,Massachusetts,42.070206,-72.622739
"1774161319477969",Agawam True Open Forum Freedom of Speech Never Censored,https://www.facebook.com/groups/1774161319477969/,Private,1.7K,1700.0,"A place to discus all the goings on in and around town Try to keep it civil.",7 posts a day,Agawam,MA,Massachusetts,42.070206,-72.622739
"1019711638225890",always gifting / westfield/Southwick/agawam/granville/russell/chicopee/w.sf,https://www.facebook.com/groups/1019711638225890/,Private,1.4K,1400.0,"I have decided to create this group for anything you would like to pass on to another person or family.. in all our surrounding communities 😊 I feel this is a great way to build relationships with our neighbors and make new friends. if you have any problems or questions please feel free to message me 😊 happy gifting all",2 posts a day,Agawam,MA,Massachusetts,42.070206,-72.622739
"1272369679593839",Western Mass Babysitting,https://www.facebook.com/groups/1272369679593839/,Private,1.8K,1800.0,"Welcome everyone to the Western Mass Babysitting Exchange. We have all heard the saying “it take a village to raise a child” and we believe that to be true. Whether you are a single mom who needs an extra hand. looking for a date night babysitter. foster parent who needs a break. grandparent who needs help after school for a few hours. when raising a child/children we all need to have a support system in place. Face it. things happen & we should all be able to call someone in case of an emergency and know our children are in good hands. Our goal of this group is to create a safe place to expand our “village” and give you that extra piece of mind that there is always someone around who can help out.",NA,Agawam,MA,Massachusetts,42.070206,-72.622739
"214969656508557",Amesbury Squawks - The Sequel,https://www.facebook.com/groups/214969656508557/,Private,7K,7000.0,"This is the replacement group for Amesbury Squawks. All are welcome!",10 posts a day,Amesbury,MA,Massachusetts,42.855879,-70.936681
"616895368375220",Amesbury Talks,https://www.facebook.com/groups/616895368375220/,Private,12K,12000.0,"Amesbury Talks was created to be a discussion forum for Amesbury residents and not to be a bulletin board or advertising platform. Talkers are encouraged to discuss community issues. local politics. education. events. and other community topics. but we do ask that the discussions always be polite. mature. and focused on Amesbury and how we can all make Amesbury a better place to live and work. We encourage local politicians and citizens running for office to introduce themselves. share their office/campaign pages. and to discuss their positions on local issues with the AT public. Political discussion can easily become heated. We ask that everyone be respectful of differing opinions and always follow the rules of decorum. THIS IS A MODERATED FORUM. While we encourage vigorous debate. Please observe the rules of decorum at all times. We’re aware that not everyone will always agree with moderator editorial decisions. which is fine. but we will attempt (to the best of our collective abilities) to make sure this forum stays friendly. welcoming. and most importantly… provides useful information to the citizens of Amesbury. The complete rules and guidelines can be read here: https://sites.google.com/view/at-rules-guidelines",10 posts a day,Amesbury,MA,Massachusetts,42.855879,-70.936681
"amesbury411",Amesbury MA 411,https://www.facebook.com/groups/amesbury411/,Private,1.7K,1700.0,"For the people. by the people",NA,Amesbury,MA,Massachusetts,42.855879,-70.936681
"389759671469757",Elevator Historical Society,https://www.facebook.com/groups/389759671469757/,Private,3K,3000.0,"The Elevator Historical Society Museum was originally opened by Patrick Carr in 2011 in Long Island City NY. It has been relocated to Boston I.U.E.C. Local #4's meeting room. It now known as the Elevator Historical Society Exhibit under the supervision of Stephen Comley Committee Chairman and Curator",NA,Amesbury,MA,Massachusetts,42.855879,-70.936681
"180988389055652",Buy Nothing Amesbury&Merrimac MA,https://www.facebook.com/groups/180988389055652/,Private,2K,2000.0,"*Spam/ads/member will be removed* *** https://www.mass.gov/covid-19 *** For people in Amesbury/Merrimac. MA to 'give where you live' and build community. You can join one group only. the group where you live. If you live elsewhere. find your group here: https://buynothingproject.org/find-a-group/ To join us. click “Join Group” and answer the three membership questions. By joining you agree to rules. Buy Nothing. Give Freely. Share creatively. Follow us at https://www.facebook.com/BuyNothingProject/ We offer members a way to give and receive. share. lend. and express gratitude through a worldwide network of micro-local gift economies in which the true wealth is the web of connections formed between people who are real-life neighbors. Post anything you'd like to give away. lend. or share in this Buy Nothing community group. Ask for anything you'd like to receive for free or borrow. Keep it legal. Keep it civil. In this group there is no buying or selling. no trades or bartering. no soliciting for cash. We're an adult-only. hyper-local gift economy. We are not a charity or community bulletin board. You can choose to give your gifts to whoever you choose. for whatever reason. (ie: BIPOC. under-privileged. marginalized. financially-challenged. disabled. parent. student. essential-worker. etc.) Please check for a message from an admin via Facebook messenger to clarify and confirm that you meet our membership criteria if need be. By joining this group. you agree to abide by our Mission and Rules. https://buynothingproject.org/the-fine-print-2/ Looking for an official group near you? Visit our Find A Group page for a list of all our hyper-local gift economies: http://buynothingproject.org/find-a-group/ Want to join the Buy Nothing Project network? Visit our Start A Group page to learn about how we set groups up: http://buynothingproject.org/start-a-group/ Learn more about the Buy Nothing Project at http://buynothingproject.org/ Have a concern about this group? Are you having trouble finding or being added to your local Buy Nothing group? We want to hear from you! Contact us here: https://tinyurl.com/member-relations * https://buynothingproject.org/2020/03/16/buy-nothing-project-covid-19-statement/ * This work is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License. https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode",8 posts a day,Amesbury,MA,Massachusetts,42.855879,-70.936681
"1540773462833211",Amesbury Moms,https://www.facebook.com/groups/1540773462833211/,Private,2.2K,2200.0,"A group for moms in our community to connect and discuss parenting topics including health & wellness. create play dates. share tips. & more. Keep it loving and supportive. even when we disagree. Let's make our children proud xx",5 recent anonymous posts,Amesbury,MA,Massachusetts,42.855879,-70.936681
"356957814776283",The Care Crew,https://www.facebook.com/groups/356957814776283/,Private,1.6K,1600.0,"Hi all. most of you that know me know that I have always been a champion of the underdog. always doing what I can for the less fortunate. Not a wealthy man. but someone trying to make a difference. As you can imagine this is something that cannot be done alone. At times it gets overwhelming. therefore I have created this special group where like-hearted people can join in my crusade. We as a group will be responsible for a host of tasks all in the name of doing good. Tasks will include anything from shoveling out elderly folks to clothing needy children. I will say that the Care Crew will expect you as a member to pitch in at times to do your part. I'm not interested in you joining just to see what we're up to. Together we can make a difference The Care Crew will know no borders So if you are interested in joining or adding members that think like us please feel free. and thank you.",NA,Amesbury,MA,Massachusetts,42.855879,-70.936681
"parentsandlittleones",Saltwater Parents and Little Ones,https://www.facebook.com/groups/parentsandlittleones/,Private,1.6K,1600.0,"This group is for current and expecting families in MA. NH & ME to connect. build community and share events! Please be on the lookout every Wednesday for our weekend event posts as well as our small buisness Saturday posts every Saturday. If you are a buisness owner and would like to share an event beyond the scheduled posts please PM an admin for approval. This group is hosted by Saltwater Doulas. an Amesbury based doula agency and prenatal education center in Amesbury. MA. Learn more about Saltwater Doulas here: https://saltwaterdoulanh.com/",NA,Amesbury,MA,Massachusetts,42.855879,-70.936681
"611694063295222",Boudoir by Allie$ Amesbury MA,https://www.facebook.com/groups/611694063295222/,Private,2K,2000.0,"Hi Ladies! I'm so looking forward to opening this amazing space to have all of us women empower and encourage eachother and to show our beauty right where we are at now! Thank you so much for joining my private women only group!",NA,Amesbury,MA,Massachusetts,42.855879,-70.936681
"844883719724191",The Amherst MA Community Forum,https://www.facebook.com/groups/844883719724191/,Private,4.1K,4100.0,"A place where the community of Amherst MA can come together and share news. stories. services. any other items of interest.",10 posts a day,Amherst,MA,Massachusetts,42.377017,-72.51565
"8438308334",Amherst$ MA/Hadley$ MA/Northampton$ MA/Sunderland$ MA Area,https://www.facebook.com/groups/8438308334/,Private,2.3K,2300.0,"This group is for people that live in the Amherst area. grew up in the Amherst area. go-to school in the Amherst area. went to school in the Amherst area. own business in the Amherst area. work in the Amherst area. or even visit the Amherst area. 1. No racism. hate. or discrimination of any kind 2. No name calling 3. No creating false images about others 4. No bullying 5. If you're going to advertise places hiring. salary. address. phone number. and website must be included or it will not be approved. 6. It's okay to share very important resources and information especially during the pandemic. 7. Small business owners in the Pioneer Valley are more than welcome to promote their business in this group. but phone number. address. and website must be included or it will not be approved. 8. Posts about public transportation in Massachusetts are welcome in this group 9. Sharing events in the Pioneer Valley and other parts of Massachusetts are welcome in this group 10. Always feel free to share any kind of sporting events 11. It's okay to share posts from your personal account. but it has to be public so other members can see. 12. No disrespecting the admins 13. No stigmatizing others 14. Please report any spam and it will be investigated 15. No call outs 16. No ghost accounts 17. No giving other members a hard time for posting anonymously. 18. Fundraiser posts will be reviewed they get approved.",1 recent anonymous post,Amherst,MA,Massachusetts,42.377017,-72.51565
